a,origin,destination,requirement_status,requirement
143,Afghanistan,Qatar,0,visa_required
144,Afghanistan,Romania,0,visa_required
145,Afghanistan,Russia,0,visa_required
146,Afghanistan,Rwanda,1,visa_on_arrival
147,Afghanistan,Saint Kitts and Nevis,0,visa_required
148,Afghanistan,Saint Lucia,0,visa_required
149,Afghanistan,Samoa,1,visa_on_arrival
150,Afghanistan,San Marino,0,visa_required
151,Afghanistan,São Tomé and Príncipe,0,visa_required
152,Afghanistan,Saudi Arabia,0,visa_required
153,Afghanistan,Senegal,0,visa_required
154,Afghanistan,Serbia,0,visa_required
155,Afghanistan,Seychelles,1,visa_on_arrival
156,Afghanistan,Sierra Leone,0,visa_required
157,Afghanistan,Singapore,0,visa_required
158,Afghanistan,Slovakia,0,visa_required
159,Afghanistan,Slovenia,0,visa_required
160,Afghanistan,Solomon Islands,0,visa_required
161,Afghanistan,Somalia,1,visa_on_arrival
162,Afghanistan,South Africa,0,visa_required
163,Afghanistan,South Korea,0,visa_required
164,Afghanistan,South Sudan,1,visa_on_arrival
165,Afghanistan,Spain,0,visa_required
166,Afghanistan,Sri Lanka,3,eta
167,Afghanistan,Saint Vincent and the Grenadines,0,visa_required
168,Afghanistan,Sudan,0,visa_required
169,Afghanistan,Suriname,0,visa_required
170,Afghanistan,Sweden,0,visa_required
171,Afghanistan,Switzerland,0,visa_required
172,Afghanistan,Syria,0,visa_required
173,Afghanistan,Taiwan,0,visa_required
174,Afghanistan,Tajikistan,0,visa_required
175,Afghanistan,Tanzania,0,visa_required
176,Afghanistan,Thailand,0,visa_required
177,Afghanistan,Timor-Leste,1,visa_on_arrival
178,Afghanistan,Togo,1,visa_on_arrival
179,Afghanistan,Tonga,0,visa_required
180,Afghanistan,Trinidad and Tobago,0,visa_required
181,Afghanistan,Tunisia,0,visa_required
182,Afghanistan,Turkmenistan,0,visa_required
183,Afghanistan,Tuvalu,1,visa_on_arrival
184,Afghanistan,Turkey,1,visa_on_arrival
185,Afghanistan,Uganda,1,visa_on_arrival
186,Afghanistan,Ukraine,0,visa_required
187,Afghanistan,United Arab Emirates,0,visa_required
188,Afghanistan,United Kingdom,0,visa_required
189,Afghanistan,USA,0,visa_required
190,Afghanistan,Uruguay,0,visa_required
191,Afghanistan,Uzbekistan,0,visa_required
192,Afghanistan,Vanuatu,0,visa_required
193,Afghanistan,Vatican City,0,visa_required
194,Afghanistan,Venezuela,0,visa_required
195,Afghanistan,Vietnam,0,visa_required
196,Afghanistan,Yemen,0,visa_required
197,Afghanistan,Zambia,0,visa_required
198,Afghanistan,Zimbabwe,0,visa_required
199,Afghanistan,Afghanistan,4,
200,Albania,Afghanistan,0,visa_required
201,Albania,Algeria,0,visa_required
202,Albania,Andorra,2,visa_free
203,Albania,Angola,1,visa_on_arrival
204,Albania,Antigua and Barbuda,2,visa_free
205,Albania,Argentina,0,visa_required
206,Albania,Armenia,2,visa_free
